phase,model_name,fp32_top1,fp32_top5,params_m,fp32_size_mb,winograd_friendly
Phase 1 - Baselines,mobilenetv2,57.99558162689209,81.51498436927795,2.480072,28.751924514770508,False
Phase 1 - Baselines,resnet18_tv,53.91363501548767,77.79748439788818,11.279112,129.20868110656738,False
Phase 1 - Baselines,vgg_style,51.81480646133423,75.88169574737549,2.405288,27.58481216430664,True
Phase 4 - Final Architecture,alexnet_final_fire_residual,49.793291091918945,74.80218410491943,0.698664,8.093656539916992,True
Phase 3 - Compensation,alexnet_residual,48.01293909549713,73.10833930969238,60.67028,694.4140338897705,True
Phase 2 - AlexNet Variants,alexnet_small_kernel,45.836564898490906,71.07693552970886,1.602376,18.353315353393555,True
Phase 2 - AlexNet Variants,alexnet_stacked,45.21975517272949,70.96072435379028,60.483976,692.2550354003906,True
Phase 4 - Final Architecture,alexnet_final_bottleneck_residual,45.09960114955902,71.15118503570557,0.571304,6.653960227966309,True
Phase 3 - Compensation,alexnet_bottleneck,44.62297856807709,71.03633880615234,0.385,4.4917449951171875,True
Phase 3 - Compensation,alexnet_depthwisesep,44.390010833740234,69.4456160068512,0.313641,3.6540164947509766,True
Phase 3 - Compensation,alexnet_fire,43.976473808288574,70.43158411979675,0.516152,5.989412307739258,True
Phase 4 - Final Architecture,alexnet_final_depthwise_fire,43.45587491989136,69.02325749397278,0.474921,5.511262893676758,True
Phase 3 - Compensation,alexnet_factorized,42.890143394470215,68.91416311264038,57.06676,653.1486721038818,False
Phase 4 - Final Architecture,alexnet_final_bottleneck_fire,42.28608012199402,68.53951215744019,0.506408,5.882781028747559,True
Phase 2 - AlexNet Variants,alexnet_3x3_gap,40.316811203956604,66.32042527198792,2.302984,26.37101173400879,
Phase 2 - AlexNet Variants,alexnet_mixed,38.74005675315857,64.82577323913574,1.750024,20.042604446411133,False
Phase 3 - Compensation,alexnet_gap,38.73852789402008,64.8317277431488,2.302984,26.370630264282227,True
Phase 2 - AlexNet Variants,alexnet_3x3,35.78716218471527,61.28220558166504,57.605128,659.2580509185791,True
Phase 2 - AlexNet Variants,alexnet_3x3_fc,35.78716218471527,61.28220558166504,57.605128,659.2580509185791,
Phase 2 - AlexNet Variants,alexnet_2x2_gap,33.15201997756958,58.94674062728882,1.052744,12.063150405883789,
Phase 1 - Baselines,alexnet_tv,32.88792073726654,58.219730854034424,57.82324,661.7541408538818,False
Phase 2 - AlexNet Variants,alexnet_tv,32.20268785953522,57.60788321495056,57.82324,661.7543239593506,False
Phase 2 - AlexNet Variants,alexnet_2x2_fc,30.532345175743103,56.028664112091064,35.383368,404.9503231048584,
Phase 2 - AlexNet Variants,alexnet_2x2,30.023813247680664,55.55385947227478,1.052744,12.062768936157227,False
Phase 3 - Compensation,alexnet_groupconv,29.18199896812439,57.067954540252686,55.919752,639.9905910491943,True
Phase 3 - Compensation,alexnet_se,0.4999999888241291,2.499999850988388,57.646288,659.7523059844971,True
